PC_ID,DIVISION,DEPARTMENT,RETAILER_NAME,RETAILER_SEGMENT,CATEGORY,STYLE,PRODUCT_DESCRIPTION
31752683,Womens,Apparel,Retailer 12,Innovator,Jeans,Skinny leg,skinny leg jeans mid rise waist light wash mid blue soft hand feel non stretch feel style with a crisp shirt fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit
31565947,Womens,Apparel,Retailer 12,Innovator,Jeans,Straight leg,easy straight jeans mid rise waist mid wash blue shaped waist clean finish ideal for casual days fabric cotton denim classic pocket styling
31201992,Womens,Apparel,Retailer 24,Conservative,Jeans,Slim leg,streamlined leg jeans low rise waist clean rinse soft white raw hem turned up cuff made for all day wear fabric cotton stretch fibre micromodal blend classic pocket styling close to the body fit
31736874,Womens,Apparel,Retailer 25,Innovator,Jeans,Relaxed/loose,loose fit jeans mid rise waist mid wash off white slim through hip minimal trim designed for comfort fabric cotton denim classic pocket styling
31423281,Womens,Apparel,Retailer 25,Innovator,Jeans,Straight leg,straight leg jeans mid rise waist inlaid blue grey minimal trim turned up cuff ideal for casual days fabric satin denim classic pocket styling
31168316,Womens,Apparel,Retailer 9,Conservative,Jeans,Straight leg,easy straight jeans mid rise waist light wash washed black comfortable drape front pocket shaping wear with a tucked tee fabric cotton stretch fibre polyester blend classic pocket styling
31858334,Womens,Apparel,Retailer 12,Innovator,Jeans,Bootcut,slight bootcut jeans mid rise waist washed grey black non stretch feel comfortable drape goes with oversized blazer fabric cotton stretch fibre polyester blend classic pocket styling balanced hem shape
31424939,Womens,Apparel,Retailer 26,Mass,Jeans,Wide leg (incl. baggy),full leg jeans high rise waist light wash soft white contrast stitch look everyday denim made for all day wear fabric cotton denim classic pocket styling relaxed through seat and thigh
31811802,Womens,Apparel,Retailer 6,Mass,Jeans,Wide leg (incl. baggy),wide leg jeans mid rise waist dark wash indigo roomy through thigh shaped waist easy to style fabric mixed fibres denim
31330946,Womens,Apparel,Retailer 27,Innovator,Jeans,Wide leg (incl. baggy),baggy wide leg jeans low rise waist mid wash off white minimal trim frayed edge softens with wear fabric denim denim
31312599,Womens,Apparel,Retailer 27,Innovator,Jeans,Straight leg,easy straight jeans low rise waist stone wash light blue back pocket shaping tapered from knee wear with a tucked tee fabric denim denim classic pocket styling
31178693,Womens,Apparel,Retailer 11,Mass,Jeans,Skinny leg,skinny leg jeans mid rise waist faded blue sand front pocket shaping clean finish layer with knitwear fabric cotton denim stretch fibre blend classic pocket styling close to the body fit organic cotton touch
31638515,Womens,Apparel,Retailer 12,Innovator,Jeans,Carrot / tapered,tapered ankle jeans mid rise waist stone wash dark blue day to night seam detail layer with knitwear fabric cotton denim classic pocket styling tapered towards ankle
31187285,Womens,Apparel,Retailer 12,Innovator,Jeans,Slim leg,streamlined leg jeans low rise waist black wash black structured denim feel frayed edge goes with oversized blazer fabric mixed fibres denim classic pocket styling close to the body fit
31692007,Womens,Apparel,Retailer 7,Innovator,Jeans,Other,high rise waist light wash grey tapered from knee straight through leg layer with knitwear fabric cotton denim classic pocket styling balanced hem shape
31580683,Womens,Apparel,Retailer 12,Innovator,Jeans,Straight leg,straight leg jeans high rise waist ink wash soft white stretch comfort minimal trim wear with a tucked tee fabric cotton stretch fibre polyester blend classic pocket styling
31595745,Womens,Apparel,Retailer 25,Innovator,Jeans,Skinny leg,skinny leg jeans low rise waist ink wash sand non stretch feel raw hem layer with knitwear fabric cotton stretch fibre blend classic pocket styling close to the body fit
31691244,Womens,Apparel,Retailer 6,Mass,Jeans,Other,jeans high rise waist ink wash sand easy movement shaped waist layer with knitwear fabric mixed fibres denim classic pocket styling tapered towards ankle
31540565,Womens,Apparel,Retailer 9,Conservative,Jeans,Wide leg (incl. baggy),full leg jeans mid rise waist mid wash mid blue comfortable drape roomy through thigh made for all day wear fabric cotton denim classic pocket styling relaxed through seat and thigh organic cotton touch
31013407,Womens,Apparel,Retailer 25,Innovator,Jeans,,low rise waist dark wash washed black work to weekend seam detail designed for comfort fabric cotton stretch fibre polyester blend classic pocket styling
31389938,Womens,Apparel,Retailer 11,Mass,Jeans,Flare/bell bottom,bell leg jeans low rise waist stone wash washed black back pocket shaping soft hand feel holds its shape fabric cotton denim classic pocket styling balanced hem shape
31299996,Womens,Apparel,Retailer 1,Innovator,Jeans,Straight leg,straight leg jeans mid rise waist dark wash washed black everyday denim straight through leg wear with a tucked tee fabric denim denim classic pocket styling
31528684,Womens,Apparel,Retailer 9,Conservative,Jeans,Straight leg,straight leg jeans high rise waist inlaid blue light blue easy movement roomy through thigh designed for comfort fabric cotton linen viscose blend classic pocket styling
31525548,Womens,Apparel,Retailer 28,Mass,Jeans,,mid rise waist dark wash off white clean finish shaped waist wear with a tucked tee fabric cotton stretch fibre blend classic pocket styling
31774856,Womens,Apparel,Retailer 6,Mass,Jeans,Slim leg,slim leg jeans high rise waist faded blue black comfortable drape non stretch feel versatile wardrobe piece fabric cotton denim classic pocket styling close to the body fit
31441028,Womens,Apparel,Retailer 27,Innovator,Jeans,Slim leg,streamlined leg jeans low rise waist black wash soft white belt loops clean finish denim you can dress up fabric denim denim classic pocket styling close to the body fit
31951446,Womens,Apparel,Retailer 3,Mass,Jeans,Straight leg,classic straight jeans high rise waist dark wash mid blue day to night straight through leg layer with knitwear fabric cotton stretch fibre polyester blend classic pocket styling
31211850,Womens,Apparel,Retailer 29,Mass,Jeans,Wide leg (incl. baggy),baggy wide leg jeans low rise waist faded blue off white wide through leg easy movement softens with wear fabric cotton stretch fibre polyester blend classic pocket styling relaxed through seat and thigh
31967503,Womens,Apparel,Retailer 4,Innovator,Jeans,Bootcut,slight bootcut jeans low rise waist stone wash grey zip fly front pocket shaping style with a crisp shirt fabric cotton stretch fibre blend classic pocket styling balanced hem shape
31338860,Womens,Apparel,Retailer 11,Mass,Jeans,Wide leg (incl. baggy),full leg jeans mid rise waist dark wash charcoal belt loops frayed edge wear with a tucked tee fabric cotton denim blend classic pocket styling relaxed through seat and thigh
31294989,Womens,Apparel,Retailer 25,Innovator,Jeans,Relaxed/loose,loose fit jeans low rise waist inlaid blue cream comfortable drape comfortable drape versatile wardrobe piece fabric denim denim classic pocket styling sustainable wash process
31892043,Womens,Apparel,Retailer 11,Mass,Jeans,Wide leg (incl. baggy),wide leg jeans high rise waist ink wash sand work to weekend straight through leg wear with a tucked tee fabric cotton denim stretch fibre blend cotton touch
31801239,Womens,Apparel,Retailer 11,Mass,Jeans,Slim leg,streamlined leg jeans high rise waist stone wash ecru seam detail tapered from knee holds its shape fabric cotton denim blend classic pocket styling close to the body fit cotton touch
31011565,Womens,Apparel,Retailer 9,Conservative,Jeans,Other,shape jeans high rise waist stone wash black comfortable drape minimal trim style with a crisp shirt fabric cotton stretch fibre polyester blend classic pocket styling balanced hem shape
31742494,Womens,Apparel,Retailer 12,Innovator,Jeans,Bootcut,bootcut leg jeans mid rise waist mid wash charcoal zip fly comfortable drape versatile wardrobe piece fabric cotton stretch fibre blend classic pocket styling balanced hem shape
31166408,Womens,Apparel,Retailer 12,Innovator,Jeans,Straight leg,classic straight jeans mid rise waist stone wash ecru subtle fading raw hem ideal for casual days fabric cotton denim classic pocket styling made with sustainability in mind
31644169,Womens,Apparel,Retailer 25,Innovator,Jeans,Straight leg,easy straight jeans low rise waist stone wash sand soft hand feel day to night pair with trainers or boots fabric cotton denim classic pocket styling
31814254,Womens,Apparel,Retailer 29,Mass,Jeans,Skinny leg,skinny fit jeans mid rise waist light wash light blue belt loops contrast stitch look denim you can dress up fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit
31822097,Womens,Apparel,Retailer 21,Mass,Jeans,,denim jeans mid rise waist mid wash off white raw hem button fastening layer with knitwear fabric cotton stretch fibre polyester blend classic pocket styling
31505440,Womens,Apparel,Retailer 25,Innovator,Jeans,Skinny leg,close fit leg jeans low rise waist faded blue light blue subtle fading soft hand feel softens with wear fabric plastic denim classic pocket styling close to the body fit
31645980,Womens,Apparel,Retailer 25,Innovator,Jeans,Skinny leg,skinny fit jeans mid rise waist clean rinse charcoal seam detail soft hand feel pair with trainers or boots fabric cotton stretch fibre blend classic pocket styling close to the body fit
31792424,Womens,Apparel,Retailer 12,Innovator,Jeans,Slim leg,slim fit jeans low rise waist faded blue mid blue clean finish tapered from knee pair with trainers or boots fabric cotton stretch fibre blend classic pocket styling close to the body fit organic cotton touch
31710452,Womens,Apparel,Retailer 4,Innovator,Jeans,Straight leg,straight leg jeans high rise waist ink wash off white casual staple minimal trim style with a crisp shirt fabric denim denim classic pocket styling made with sustainability in mind
31624918,Womens,Apparel,Retailer 18,Innovator,Jeans,Straight leg,classic straight jeans high rise waist washed grey cream comfortable drape tapered from knee easy to style fabric linen denim classic pocket styling made with in mind
31583665,Womens,Apparel,Retailer 10,Innovator,Jeans,Carrot / tapered,tapered leg jeans low rise waist faded blue light blue contrast stitch look everyday denim goes with oversized blazer fabric cotton denim classic pocket styling tapered towards ankle organic cotton touch
31828892,Womens,Apparel,Retailer 30,Conservative,Jeans,Skinny leg,skinny fit jeans low rise waist clean rinse cream roomy through thigh shaped waist finished with classic pockets fabric mixed fibres denim classic pocket styling close to the body fit
31191549,Womens,Apparel,Retailer 18,Innovator,Jeans,Flare/bell bottom,flared hem jeans high rise waist black wash light blue day to night shaped waist ideal for casual days fabric cotton denim classic pocket styling balanced hem shape
31372460,Womens,Apparel,Retailer 31,Innovator,Jeans,Wide leg (incl. baggy),full leg jeans low rise waist inlaid blue grey belt loops straight through leg finished with classic pockets fabric denim denim classic pocket styling
31987176,Womens,Apparel,Retailer 3,Mass,Jeans,Slim leg,streamlined leg jeans high rise waist clean rinse ecru stretch comfort structured denim feel denim you can dress up fabric cotton stretch fibre blend classic pocket styling close to the body fit
31477285,Womens,Apparel,Retailer 27,Innovator,Jeans,Wide leg (incl. baggy),full leg jeans high rise waist stone wash light blue work to weekend soft hand feel pair with trainers or boots fabric linen denim
31183746,Womens,Apparel,Retailer 32,Conservative,Jeans,Skinny leg,skinny leg jeans low rise waist stone wash mid blue straight through leg straight through leg finished with classic pockets fabric mixed fibres denim classic pocket styling close to the body fit materials focus
31247000,Womens,Apparel,Retailer 14,Innovator,Jeans,Bootcut,bootcut leg jeans high rise waist light wash soft white shaped waist roomy through thigh softens with wear fabric denim denim classic pocket styling balanced hem shape
31398217,Womens,Apparel,Retailer 33,Mass,Jeans,Skinny leg,skinny leg jeans low rise waist black wash dark blue turned up cuff turned up cuff designed for comfort fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit cotton touch
31404146,Womens,Apparel,Retailer 12,Innovator,Jeans,Straight leg,easy straight jeans low rise waist faded blue soft white panelled leg non stretch feel easy to style fabric cotton stretch fibre blend classic pocket styling
31205469,Womens,Apparel,Retailer 34,Innovator,Jeans,Bootcut,bootcut leg jeans mid rise waist faded blue sand comfortable drape button fastening denim you can dress up fabric cotton stretch fibre polyester blend classic pocket styling balanced hem shape cotton touch
31193064,Womens,Apparel,Retailer 12,Innovator,Jeans,Wide leg (incl. baggy),full leg jeans high rise waist washed grey charcoal slim through hip comfortable drape pair with trainers or boots fabric cotton stretch fibre blend
31378808,Womens,Apparel,Retailer 6,Mass,Jeans,Wide leg (incl. baggy),full leg jeans mid rise waist inlaid blue dark blue stretch comfort clean finish goes with oversized blazer fabric cotton denim classic pocket styling
31451989,Womens,Apparel,Retailer 35,Mass,Jeans,Flare/bell bottom,flared hem jeans low rise waist inlaid blue charcoal everyday denim easy movement ideal for casual days fabric cotton stretch fibre blend classic pocket styling balanced hem shape organic cotton touch
31310188,Womens,Apparel,Retailer 12,Innovator,Jeans,Flare/bell bottom,flare leg jeans mid rise waist washed grey washed black tapered from knee button fastening finished with classic pockets fabric cotton stretch fibre blend classic pocket styling balanced hem shape cotton touch
31477467,Womens,Apparel,Retailer 11,Mass,Jeans,Straight leg,easy straight jeans mid rise waist inlaid blue light blue wide through leg straight through leg made for all day wear fabric cotton denim blend classic pocket styling
31626836,Womens,Apparel,Retailer 13,Conservative,Jeans,Straight leg,easy straight jeans mid rise waist ink wash mid blue subtle fading turned up cuff made for all day wear fabric denim denim classic pocket styling
31474290,Womens,Apparel,Retailer 1,Innovator,Jeans,Straight leg,straight leg jeans low rise waist dark wash mid blue day to night turned up cuff denim you can dress up fabric cotton polyester viscose blend classic pocket styling organic cotton touch
31480716,Womens,Apparel,Retailer 22,Innovator,Jeans,Straight leg,straight leg jeans low rise waist mid wash mid blue frayed edge subtle fading style with a crisp shirt fabric denim denim classic pocket styling
31531030,Womens,Apparel,Retailer 6,Mass,Jeans,Flare/bell bottom,flare leg jeans low rise waist mid wash dark blue minimal trim tapered from knee designed for comfort fabric cotton polyester blend classic pocket styling balanced hem shape organic cotton touch
31814794,Womens,Apparel,Retailer 36,Mass,Jeans,Bootcut,bootcut leg jeans high rise waist washed grey ecru day to night frayed edge pair with trainers or boots fabric cotton stretch fibre polyester blend classic pocket styling balanced hem shape made with sustainability in mind
31119350,Womens,Apparel,Retailer 6,Mass,Jeans,Wide leg (incl. baggy),full leg jeans high rise waist faded blue washed black turned up cuff seam detail versatile wardrobe piece fabric nylon denim classic pocket styling
31079528,Womens,Apparel,Retailer 6,Mass,Jeans,Flare/bell bottom,flared hem jeans mid rise waist faded blue grey soft hand feel non stretch feel holds its shape fabric cotton stretch fibre blend classic pocket styling balanced hem shape
31013623,Womens,Apparel,Retailer 31,Innovator,Jeans,,denim jeans mid rise waist mid wash indigo seam detail button fastening layer with knitwear fabric denim denim classic pocket styling wash process
31175580,Womens,Apparel,Retailer 6,Mass,Jeans,Straight leg,straight leg jeans low rise waist faded blue off white soft hand feel easy movement softens with wear fabric denim denim classic pocket styling
31594116,Womens,Apparel,Retailer 9,Conservative,Jeans,Skinny leg,high rise jeans clean rinse off white slim through hip shaped waist wear with a tucked tee fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit
31565471,Womens,Apparel,Retailer 27,Innovator,Jeans,Straight leg,classic straight jeans mid rise waist clean rinse indigo soft hand feel structured denim feel designed for comfort fabric cotton stretch fibre blend classic pocket styling
31231376,Womens,Apparel,Retailer 12,Innovator,Jeans,Bootcut,bootcut leg jeans mid rise waist clean rinse off white contrast stitch look roomy through thigh designed for comfort fabric cotton denim classic pocket styling balanced hem shape cotton touch
31576318,Womens,Apparel,Retailer 12,Innovator,Jeans,Relaxed/loose,loose fit jeans low rise waist clean rinse grey panelled leg slim through hip finished with classic pockets fabric cotton denim classic pocket styling relaxed through seat and thigh made with sustainability in mind
31599897,Womens,Apparel,Retailer 37,Conservative,Jeans,Flare/bell bottom,bell leg jeans high rise waist faded blue indigo roomy through thigh day to night softens with wear fabric cotton polyester blend classic pocket styling balanced hem shape cotton touch
31009950,Womens,Apparel,Retailer 25,Innovator,Jeans,Slim leg,slim fit jeans low rise waist mid wash cream tapered from knee raw hem style with a crisp shirt fabric cotton denim stretch fibre blend classic pocket styling close to the body fit
31396195,Womens,Apparel,Retailer 1,Innovator,Jeans,Straight leg,easy straight jeans mid rise waist ink wash indigo casual staple soft hand feel layer with knitwear fabric cotton stretch fibre blend classic pocket styling
31443235,Womens,Apparel,Retailer 4,Innovator,Jeans,Wide leg (incl. baggy),wide leg jeans high rise waist dark wash charcoal front pocket shaping raw hem softens with wear fabric denim denim classic pocket styling
31373674,Womens,Apparel,Retailer 4,Innovator,Jeans,Straight leg,easy straight jeans low rise waist mid wash cream tapered from knee tapered from knee finished with classic pockets fabric cotton polyester blend classic pocket styling
31462275,Womens,Apparel,Retailer 7,Innovator,Jeans,Wide leg (incl. baggy),wide leg jeans low rise waist faded blue cream tapered from knee everyday denim finished with classic pockets fabric denim fabric
31807678,Womens,Apparel,Retailer 8,Conservative,Jeans,Slim leg,streamlined leg jeans low rise waist light wash grey front pocket shaping tapered from knee style with a crisp shirt fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit
31301305,Womens,Apparel,Retailer 38,Mass,Jeans,Wide leg (incl. baggy),full leg jeans low rise waist light wash light blue straight through leg turned up cuff made for all day wear fabric denim denim
31441679,Womens,Apparel,Retailer 39,Conservative,Jeans,Wide leg (incl. baggy),baggy wide leg jeans mid rise waist clean rinse cream structured denim feel clean finish versatile wardrobe piece fabric cotton stretch fibre polyester blend classic pocket styling
31781650,Womens,Apparel,Retailer 9,Conservative,Jeans,Straight leg,straight leg jeans low rise waist faded blue grey slim through hip tapered from knee style with a crisp shirt fabric cotton stretch fibre blend classic pocket styling
31986845,Womens,Apparel,Retailer 38,Mass,Jeans,Flare/bell bottom,flared hem jeans high rise waist stone wash black belt loops slim through hip finished with classic pockets fabric cotton stretch fibre blend classic pocket styling balanced hem shape
31909548,Womens,Apparel,Retailer 40,Innovator,Jeans,Straight leg,classic straight jeans low rise waist light wash soft white panelled leg panelled leg ideal for casual days fabric cotton stretch fibre viscose blend classic pocket styling
31670317,Womens,Apparel,Retailer 12,Innovator,Jeans,Relaxed/loose,loose fit jeans high rise waist faded blue charcoal everyday denim turned up cuff layer with knitwear fabric cotton denim
31332346,Womens,Apparel,Retailer 21,Mass,Jeans,Relaxed/loose,loose fit jeans low rise waist inlaid blue washed black button fastening stretch comfort pair with trainers or boots fabric denim denim
31065834,Womens,Apparel,Retailer 17,Mass,Jeans,Wide leg (incl. baggy),baggy wide leg jeans low rise waist light wash charcoal zip fly shaped waist finished with classic pockets fabric denim denim classic pocket styling relaxed through seat and thigh
31466113,Womens,Apparel,Retailer 41,Mass,Jeans,Skinny leg,skinny leg jeans low rise waist faded blue cream slim through hip clean finish wear with a tucked tee fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit made with sustainability in mind
31299865,Womens,Apparel,Retailer 12,Innovator,Jeans,Carrot / tapered,tapered ankle jeans mid rise waist washed grey light blue back pocket shaping comfortable drape ideal for casual days fabric cotton denim classic pocket styling tapered towards ankle
31302012,Womens,Apparel,Retailer 32,Conservative,Jeans,Wide leg (incl. baggy),baggy wide leg jeans low rise waist clean rinse grey structured denim feel soft hand feel versatile wardrobe piece fabric denim denim classic pocket styling relaxed through seat and thigh
31755979,Womens,Apparel,Retailer 42,Mass,Jeans,Wide leg (incl. baggy),wide leg jeans high rise waist faded blue mid blue tapered from knee subtle fading versatile wardrobe piece fabric cotton viscose blend classic pocket styling relaxed through seat and thigh
31625703,Womens,Apparel,Retailer 36,Mass,Jeans,Skinny leg,skinny leg jeans high rise waist dark wash grey soft hand feel seam detail easy to style fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit
31708477,Womens,Apparel,Retailer 5,Conservative,Jeans,Skinny leg,close fit leg jeans low rise waist dark wash sand slim through hip structured denim feel goes with oversized blazer fabric cotton stretch fibre polyester blend classic pocket styling close to the body fit made with sustainability in mind
31085249,Womens,Apparel,Retailer 38,Mass,Jeans,Straight leg,easy straight jeans low rise waist ink wash blue frayed edge panelled leg goes with oversized blazer fabric cotton stretch fibre blend classic pocket styling wash process
31020414,Womens,Apparel,Retailer 41,Mass,Jeans,Flare/bell bottom,bell leg jeans mid rise waist faded blue cream clean finish subtle fading softens with wear fabric cotton stretch fibre blend classic pocket styling balanced hem shape
31081125,Womens,Apparel,Retailer 1,Innovator,Jeans,Wide leg (incl. baggy),baggy wide leg jeans mid rise waist washed grey charcoal slim through hip stretch comfort ideal for casual days fabric cotton stretch fibre viscose blend classic pocket styling relaxed through seat and thigh
31974582,Womens,Apparel,Retailer 12,Innovator,Jeans,Relaxed/loose,slouchy fit jeans high rise waist dark wash ecru straight through leg panelled leg denim you can dress up fabric cotton denim classic pocket styling relaxed through seat and thigh
31934467,Womens,Apparel,Retailer 9,Conservative,Jeans,Straight leg,straight leg jeans mid rise waist washed grey sand soft hand feel turned up cuff goes with oversized blazer fabric cotton stretch fibre blend classic pocket styling
31125063,Womens,Apparel,Retailer 9,Conservative,Jeans,Straight leg,straight leg jeans low rise waist dark wash dark blue wide through leg roomy through thigh softens with wear fabric cotton denim classic pocket styling
31088361,Womens,Apparel,Retailer 2,Mass,Jeans,Straight leg,easy straight jeans mid rise waist clean rinse mid blue roomy through thigh slim through hip easy to style fabric cotton denim classic pocket styling wash process
